"domain","source_value","record_count"
"drug","HYCAMTIN",88
"drug","salmeterol",76
"drug","ACTOS",73
"drug","cyclobenzaprine",53
"drug","HUMALOG",49
"drug","CYMBALTA",49
"drug","insulin detemir",48
"drug","morphine sulfate",48
"drug","haloperidol",47
"drug","dilaudid",43
"drug","5-Fluorouracil",43
"drug","ONXOL",42
"drug","Platinol",39
"drug","naproxen",37
"drug","hydrocodone-acetaminophen 5-500",34
"drug","prednisolone",31
"drug","valacyclovir",30
"drug","Esmolol",29
"drug","tamoxifen",27
"drug","scopolamine",24
"drug","trastuzumab",18
"drug","Epirubicin",17
"drug","Warfarin",16
"drug","AVELOX",16
"drug","INNOHEP",15
"drug","metronidazole",12
"drug","Albuterol",12
"drug","DACOGEN",12
"drug","carboplatin",10
"drug","B12",9
"drug","Tinzaparin",8
"drug","desipramine",8
"drug","oxycodone-acetaminophen 5-500",8
"drug","venlafaxine",7
"drug","paclitaxel",7
"drug","ABBOKINASE",7
"drug","erythropoetin",6
"drug","Sodium tetradecyl sulfate",6
"drug","Intravenous Immunoglobulin",5
"drug","Reteplase",4
"drug","Alteplase",3
"drug","Fondaparinux sodium",2
"drug","Enoxaparin",2
"drug","lithium",2
"measurement","0",6011
"measurement","21189-7",5122
"measurement","24627-2",1938
"measurement","24725-4",1084
"measurement","44616-1",788
"measurement","36014-9",599
"measurement","9408-5",319
"measurement","9785-7",298
"measurement","11522-0",144
"measurement","24869-0",33
"measurement","30806-4",31
"measurement","58744-4",26
"measurement","28566-8",23
"measurement","44120-4",16
"measurement","39059-1",5
"procedure","38.7",400
"procedure","44.04",242
"procedure","32.52",200
"observation","cefuroxime",2530
"observation","Anticonvulsants",2504
"observation","Sulfa Drugs",2501
"observation","ampicillin",2488
"observation","cephalexin",2481
"observation","Barbiturates",2479
"observation","Iodine",2477
"observation","amoxicillin",2448
"observation","Aspirin",2444
"observation","Penicillin",2393
"observation","Insulin",2360
