"drug_name","drug_ndc_normalized","drug_ndc_raw","n_occurrences","target_concept_id"
"argatroban","00007440701","00007-4407-01",388,""
"Chantix","35356*01256","35356-*012-56",383,""
"Leucovorin","55390*05301","55390-*053-01",382,""
"danaparoid","00052083011","00052-0830-11",380,""
"irinotecan","66758*04801","66758-*048-01",380,""
"natalizumab","59075*73015","59075-*730-15",380,""
"propanolol","00258361005","00258361005",380,""
"nitroglycerin","550451642*1","55045-1642-*1",375,""
"cholestyramine","545694663*1","54569-4663-*1",357,""
"Naproxen","63874*30130","63874-*301-30",352,""
"omeprazole","545695482*0","54569-5482-*0",339,""
"Nebulized Ipratropium/Oxygen to >90% SaO2","66794*00230","66794-*002-30",336,""
"gabapentin","00677193601","00677-1936-01",328,""
"Aliskiren","548685772*0","54868-5772-*0",317,""
"pilocarpine 2%","00065075212","00065075212",311,""
"sertraline","00054002413","00054002413",308,""
"Nebulized albuterol","545693900*0","54569-3900-*0",297,""
"fluoxetine","545695291*0","54569-5291-*0",294,""
"ranitidine","545694507*0","54569-4507-*0",294,""
"Hydrochlorothiazide","00349844010","00349844010",285,""
"gemcitabine","00781328275","00781-3282-75",284,""
"gabapentin","00228266650","00228-2666-50",283,""
"Interferon alfacon 1","00187200605","00187-2006-05",279,""
"hyoscyamine","59743*02601","59743-*026-01",275,""
"ARAVA","00088216203","00088216203",275,""
"Diltiazem","00088177190","00088-1771-90",272,""
"dexamethasone","545691224*0","54569-1224-*0",272,""
"IPRATROPIUM","65271000130","65271000130",270,""
"cyclophosphamide","00054413025","00054-4130-25",268,""
"nitroprusside","10019*08202","10019-*082-02",266,""
"sumatriptan","00093022419","00093022419",262,""
"chlorambucil","00173063535","00173-0635-35",256,""
"azathioprine","51309022720","51309022720",256,""
"citalopram","00093474101","00093474101",253,""
"rituximab","05024005121","05024005121",253,""
"Ibuprofen","545694102*0","54569-4102-*0",251,""
"SAVELLA","16590084660","16590084660",249,""
"vincristine","00013745686","00013-7456-86",244,""
"doxorubicin","55390*23110","55390-*231-10",244,""
"Estrogens","51285*44102","51285-*441-02",240,""
"enalapril","545695133*0","54569-5133-*0",239,""
"LYRICA","18837008230","18837008230",238,""
"sertraline","545695818*1","54569-5818-*1",237,""
"Dexamethasone","00641627215","00641627215",234,""
"Methocarbamol","545694048*1","54569-4048-*1",233,""
"amitriptyline","65243*00603","65243-*006-03",233,""
"Naproxen","42549*59230","42549-*592-30",233,""
"ROFERON-A","00004201709","00004201709",231,""
"Ketoprofen","59911588801","59911588801",219,""
"Indomethacin","545690277*1","54569-0277-*1",219,""
"Alendronate sodium","00093517119","00093517119",219,""
"sulfasalazine","00182101601","00182101601",214,""
"5-FU","00004150603","00004150603",213,""
"hydrocodone (Vicodin)","545690032*5","54569-0032-*5",208,""
"Prednisone","10754085801","10754085801",204,""
"ondansetron","00093723619","00093723619",202,""
"sertraline","16590*45730","16590-*457-30",200,""
"LANTUS","00088222052","00088222052",200,""
"pentoxifylline","00115704401","00115704401",188,""
"CELESTONE","00085087905","00085087905",185,""
"trimethoprim","548681616*1","54868-1616-*1",181,""
"prochlorperazine","545694720*0","54569-4720-*0",180,""
"prazosin","548681290*1","54868-1290-*1",165,""
"dexamethasone","58016*78100","58016-*781-00",161,""
"methotrexate","55390*14301","55390-*143-01",158,""
"cytarabine","55390*80610","55390-*806-10",158,""
"hydrocortisone","00409485605","00409-4856-05",158,""
"prednisone","545690332*5","54569-0332-*5",152,""
"methylphenidate","597728840*1","59772-8840-*1",151,""
"gemfibrozil","00093067006","00093067006",146,""
"methylphenidate","00406112101","00406-1121-01",132,""
"clindamycin","00009022501","00009-0225-01",131,""
"Ultram","545694089*0","54569-4089-*0",131,""
"Pentoxifylline","545695972*0","54569-5972-*0",126,""
"Lamivudine","545694538*0","54569-4538-*0",125,""
"Interferon alfa 2-b","00085123501","00085-1235-01",117,""
"Trental","00039007811","00039007811",116,""
"ATNATIV","00944099601","00944099601",115,""
"Pentoxil","00245002711","00245-0027-11",114,""
"ELOXATIN","00024059010","00024059010",113,""
"metformin","545695360*0","54569-5360-*0",111,""
"Nicardipine","00093079301","00093079301",104,""
"LEVAQUIN","66336038607","66336038607",103,""
"Prednisone","545690332*5","54569-0332-*5",102,""
"XELODA","54868526009","54868526009",96,""
"Oxaliplatin","54569571700","54569571700",96,""
"Pentoxifylline","49999*54260","49999-*542-60",96,""
"Heparin","00074779462","00074779462",94,""
"warfarin","545694934*0","54569-4934-*0",92,""
"Acetaminophen","00364724812","00364724812",91,""
"Simvastatin","00093715510","00093715510",89,""
"Pletal","59148*00216","59148-*002-16",89,""
"Theophylline","00047019624","00047019624",87,""
"LYRICA","18837026190","18837026190",85,""
"heparin","00074779361","00074779361",83,""
"glipizide","545693841*0","54569-3841-*0",71,""
"AVANDIA","12280006200","12280006200",70,""
"Irinotecan","66758*04801","66758-*048-01",70,""
"fondaparinux","00007323601","00007-3236-01",67,""
"HYCAMTIN","00007420101","00007420101",66,""
"diclofenac","58016*48900","58016-*489-00",64,""
"mannitol","00517405025","00517-4050-25",59,""
"salmeterol","00173052000","00173-0520-00",58,""
"amlodipine","548685782*0","54868-5782-*0",57,""
"benazepril","545695669*0","54569-5669-*0",57,""
"ACTOS","54569488100","54569488100",52,""
"Metoprolol","545693788*0","54569-3788-*0",39,""
"HUMALOG","68115074610","68115074610",36,""
"5-Fluorouracil","00013105694","00013-1056-94",34,""
"dilaudid","00044108501","00044-1085-01",34,""
"morphine sulfate","00186115102","00186-1151-02",33,""
"Metoprolol","00047095524","00047095524",33,""
"ONXOL","00172375396","00172375396",33,""
"insulin detemir","00169643910","00169-6439-10",33,""
"diclofenac","00228271711","00228-2717-11",31,""
"haloperidol","00904183160","00904-1831-60",31,""
"cyclobenzaprine","42549*50830","42549-*508-30",29,""
"CYMBALTA","12280016315","12280016315",28,""
"duloxetine","548685192*0","54868-5192-*0",28,""
"Platinol","00015307220","00015307220",28,""
"naproxen","58016*28900","58016-*289-00",28,""
"hydrocodone-acetaminophen 5-500","545690916*0","54569-0916-*0",25,""
"Esmolol","10019*02518","10019-*025-18",21,""
"tamoxifen","00555090401","00555-0904-01",20,""
"prednisolone","00403077450","00403077450",16,""
"valacyclovir","54868608902","54868608902",15,""
"meclizine","545690347*3","54569-0347-*3",13,""
"trastuzumab","50242*05656","50242-*056-56",13,""
"Oxaliplatin","00024059240","00024-0592-40",12,""
"scopolamine","63323*26801","63323-*268-01",12,""
"Epirubicin","61703035991","61703035991",12,""
"cyclobenzaprine","55084011612","55084011612",11,""
"INNOHEP","00056034208","00056034208",11,""
"bicalutamide","00093022001","00093-0220-01",11,""
"Heparin","00641246045","00641-2460-45",10,""
"amitriptyline","57480042506","57480042506",9,""
"DACOGEN","58063060050","58063060050",9,""
"enoxaparin","00781311964","00781311964",8,""
"AVELOX","00085173302","00085173302",8,""
"carboplatin","63323*16610","63323-*166-10",7,""
"desipramine","52152*34102","52152-*341-02",7,""
"oxycodone-acetaminophen 5-500","00590012770","00590-0127-70",7,""
"metronidazole","53506098704","53506098704",6,""
"B12","62086*14630","62086-*146-30",6,""
"Albuterol","545695777*0","54569-5777-*0",6,""
"Warfarin","67544*40130","67544-*401-30",6,""
"Tinzaparin","50222*34208","50222-*342-08",6,""
"ABBOKINASE","24430100101","24430100101",5,""
"venlafaxine","00131326732","00131-3267-32",5,""
"Intravenous Immunoglobulin","44206*41501","44206-*415-01",4,""
"erythropoetin","55513*82310","55513-*823-10",4,""
"haloperidol","00005317543","00005317543",4,""
"Reteplase","24477*04001","24477-*040-01",3,""
"paclitaxel","55390*30405","55390-*304-05",3,""
"Heparin","63323*54401","63323-*544-01",3,""
"paclitaxel","66758*04301","66758-*043-01",2,""
"Fondaparinux sodium","00007323002","00007-3230-02",2,""
"Enoxaparin","00781311963","00781-3119-63",1,""
"Warfarin","35470053701","35470053701",1,""
